currency,main-programming-language,company-type,workmode,min-experience,max-experience,english-level,max-title,income-in-currency
Dólares,Typescript,Extranjera,Remoto,7,7,3,4,62400.0
Dólares,Kotlin,Extranjera,Remoto,6,6,3,5,102000.0
Dólares,Soy Manager,Extranjera,Remoto,15,15,4,4,150000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,3,3,4,4,138000000.0
Dólares,Javascript,Extranjera,Remoto,11,11,4,1,78000.0
Pesos,Soy Manager,Extranjera,Híbrido,8,8,3,1,261600000.0
Pesos,Elixir,Colombiana con mercado nacional,Remoto,6,6,4,4,24000000.0
Dólares,C#,Extranjera,Remoto,8,8,4,4,73200.0
Dólares,Typescript,Extranjera,Remoto,9,9,3,4,42250.0
Dólares,Typescript,Extranjera,Remoto,15,15,4,1,160000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,3,3,2,4,53000000.0
Pesos,Javascript,Extranjera,Remoto,6,6,4,4,247440000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,17,17,4,4,300000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,12,12,3,4,186200000.0
Pesos,Typescript,Colombiana con mercado nacional,Remoto,2,2,0,1,29000000.0
Dólares,Python,Extranjera,Remoto,3,3,2,4,42000.0
Pesos,Python,Colombiana con mercado nacional,Remoto,1,1,3,1,39000000.0
Pesos,PHP,Colombiana con mercado nacional,Remoto,1,1,3,1,12280000.0
Pesos,C#,Extranjera,Remoto,10,10,4,4,280000000.0
Pesos,Go,Colombiana con mercado nacional,Remoto,2,2,2,1,65000000.0
Pesos,Typescript,Colombiana con mercado nacional,Híbrido,1,1,1,4,26000000.0
Dólares,Typescript,Extranjera,Remoto,7,7,4,4,113280.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,5,5,1,5,91175500.0
Pesos,Kotlin,Extranjera,Híbrido,9,9,4,4,323129196.0
Dólares,Elixir,Extranjera,Remoto,13,13,4,4,47000.0
Dólares,Javascript,Extranjera,Remoto,10,10,4,4,180000.0
Pesos,Typescript,Extranjera,Remoto,10,10,4,4,354500000.0
Dólares,Typescript,Extranjera,Remoto,15,15,4,4,60000.0
Dólares,C#,Extranjera,Remoto,11,11,4,4,84640.0
Dólares,Ruby,Extranjera,Presencial,3,3,4,1,31200.0
Pesos,Otro lenguaje de programación,Colombiana con mercado nacional,Híbrido,7,7,2,4,150000000.0
Dólares,Go,Extranjera,Remoto,10,10,3,4,87000.0
Pesos,Typescript,Extranjera,Remoto,10,10,4,1,240000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Híbrido,7,7,3,4,114000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,13,13,3,5,252000000.0
Pesos,C#,Extranjera,Remoto,22,22,3,1,111600000.0
Pesos,Javascript,Extranjera,Remoto,5,5,3,4,222000000.0
Pesos,Javascript,Extranjera,Remoto,8,8,4,4,235000000.0
Pesos,Go,Extranjera,Híbrido,2,2,1,1,112606400.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,10,10,2,4,88000000.0
Pesos,C#,Colombiana con mercado nacional,Híbrido,4,4,1,4,66000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,4,4,4,5,132000000.0
Pesos,Javascript,Extranjera,Híbrido,10,10,3,4,223000000.0
Pesos,Soy Manager,Colombiana con mercado nacional,Híbrido,14,14,1,4,255120000.0
Dólares,Python,Extranjera,Remoto,16,16,3,5,75000.0
Dólares,Java,Extranjera,Remoto,15,15,4,4,80000.0
Pesos,Otro lenguaje de programación,Extranjera,Remoto,7,7,3,4,89907924.0
Dólares,Javascript,Extranjera,Remoto,7,7,3,4,124800.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,5,5,2,1,54000000.0
Pesos,Typescript,Extranjera,Remoto,10,10,3,4,315000000.0
Dólares,Javascript,Extranjera,Remoto,4,4,3,1,40867.0
Dólares,Javascript,Extranjera,Remoto,4,4,2,5,43200.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,4,4,4,4,135200000.0
Pesos,Soy Manager,Colombiana con mercado extranjero,Híbrido,5,5,2,4,66000000.0
Dólares,C#,Extranjera,Remoto,6,6,3,4,0.0
Dólares,Go,Extranjera,Remoto,7,7,3,5,60000.0
Dólares,Swift/Objective C,Extranjera,Remoto,8,8,3,1,48000.0
Pesos,Javascript,Extranjera,Remoto,9,9,4,4,490000000.0
Dólares,Javascript,Extranjera,Remoto,5,5,4,4,61440.0
Pesos,Typescript,Extranjera,Remoto,13,13,2,5,220000000.0
Pesos,C#,Extranjera,Remoto,6,6,4,4,290840000.0
Dólares,Python,Soy independiente (Freelance),Remoto,8,8,3,5,136000.0
Dólares,C#,Extranjera,Remoto,15,15,4,4,0.0
Dólares,Ruby,Extranjera,Remoto,6,6,4,4,66000.0
Dólares,Go,Extranjera,Remoto,11,11,3,4,110000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,7,7,4,4,222000000.0
Pesos,C#,Colombiana con mercado nacional,Híbrido,4,4,3,1,61000000.0
Pesos,Python,Colombiana con mercado nacional,Remoto,3,3,2,4,58000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,7,7,2,4,100000000.0
Dólares,Python,Extranjera,Remoto,2,2,4,4,0.0
Dólares,Javascript,Extranjera,Remoto,8,8,4,4,80000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,3,3,3,4,35100000.0
Pesos,Soy Manager,Colombiana con mercado nacional,Remoto,8,8,4,4,72500000.0
Dólares,Python,Extranjera,Remoto,10,10,4,4,108000.0
Pesos,Typescript,Extranjera,Remoto,15,15,3,4,446000000.0
Dólares,Ruby,Extranjera,Remoto,15,15,3,4,48000.0
Pesos,Java,Extranjera,Remoto,10,10,2,4,204000000.0
Dólares,Ruby,Extranjera,Remoto,5,5,3,4,47700.0
Dólares,Javascript,Extranjera,Remoto,8,8,4,4,5500.0
Pesos,Javascript,Extranjera,Remoto,13,13,4,4,182000000.0
Pesos,PHP,Colombiana con mercado nacional,Híbrido,4,4,0,1,35000000.0
Pesos,Go,Extranjera,Híbrido,8,8,2,5,190000000.0
Dólares,Python,Extranjera,Híbrido,5,5,4,5,50000.0
Dólares,Elixir,Extranjera,Remoto,7,7,4,4,120000.0
Pesos,Javascript,Extranjera,Remoto,7,7,4,1,230000000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,3,3,3,4,60000000.0
Dólares,Python,Extranjera,Remoto,9,9,4,1,72000.0
Pesos,Otro lenguaje de programación,Extranjera,Remoto,12,12,3,4,222000000.0
Pesos,Javascript,Extranjera,Remoto,16,16,4,4,250000000.0
Dólares,Javascript,Extranjera,Remoto,5,5,3,4,48000.0
Pesos,Javascript,Colombiana con mercado extranjero,Híbrido,2,2,4,4,110500000.0
Pesos,Python,Extranjera,Remoto,3,3,3,4,133000000.0
Dólares,Javascript,Extranjera,Remoto,10,10,4,4,105000.0
Dólares,Typescript,Extranjera,Remoto,5,5,2,1,36000.0
Dólares,Python,Extranjera,Remoto,20,20,3,1,60000.0
Dólares,Typescript,Extranjera,Híbrido,8,8,4,4,90000.0
Pesos,Javascript,Extranjera,Remoto,5,5,4,4,240000000.0
Pesos,Java,Extranjera,Remoto,16,16,4,5,250000000.0
Dólares,Go,Soy independiente (Freelance),Remoto,6,6,4,4,200000.0
Pesos,Java,Extranjera,Remoto,13,13,4,4,380000000.0
Dólares,Java,Extranjera,Remoto,10,10,2,4,40000.0
Dólares,Typescript,Soy independiente (Freelance),Remoto,12,12,2,4,80000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,10,10,3,4,144000000.0
Pesos,Javascript,Extranjera,Remoto,8,8,4,5,100000000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,3,3,3,1,171500000.0
Dólares,Python,Extranjera,Remoto,15,15,2,4,120000.0
Pesos,Java,Colombiana con mercado nacional,Remoto,1,1,2,1,50000000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,12,12,1,4,30000000.0
Pesos,Javascript,Extranjera,Remoto,12,12,3,4,230000000.0
Dólares,Java,Extranjera,Remoto,10,10,3,5,82800.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,13,13,4,4,223080000.0
Dólares,Python,Extranjera,Remoto,15,15,3,4,83000.0
Pesos,Typescript,Extranjera,Remoto,9,9,3,1,222000000.0
Pesos,SQL,Colombiana con mercado extranjero,Remoto,12,12,3,5,98000000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,1,1,2,1,35000000.0
Dólares,Dart,Extranjera,Remoto,22,22,4,5,84000.0
Dólares,Typescript,Extranjera,Presencial,9,9,4,1,160000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,4,4,2,4,66000000.0
Dólares,Typescript,Extranjera,Remoto,10,10,3,4,60000.0
Pesos,Java,Extranjera,Remoto,10,10,4,5,252000000.0
Dólares,Python,Extranjera,Remoto,5,5,3,5,60000.0
Dólares,Javascript,Extranjera,Remoto,23,23,4,4,84000.0
Dólares,C#,Colombiana con mercado extranjero,Remoto,13,13,4,4,70000.0
Dólares,Ruby,Extranjera,Remoto,15,15,4,5,136000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,5,5,3,4,132000000.0
Dólares,Javascript,Extranjera,Remoto,8,8,4,4,80000.0
Pesos,Python,Colombiana con mercado extranjero,Híbrido,4,4,3,5,143000000.0
Dólares,Typescript,Extranjera,Remoto,7,7,4,4,66000.0
Dólares,C#,Extranjera,Remoto,10,10,3,4,108000.0
Pesos,Python,Colombiana con mercado extranjero,Híbrido,4,4,4,5,240000000.0
Pesos,PHP,Extranjera,Híbrido,12,12,4,4,231600000.0
Pesos,Java,Extranjera,Remoto,8,8,3,4,220000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,4,4,3,4,132000000.0
Pesos,Typescript,Extranjera,Remoto,4,4,4,4,97000000.0
Pesos,Typescript,Colombiana con mercado extranjero,Híbrido,4,4,0,1,70800000.0
Pesos,Python,Colombiana con mercado nacional,Híbrido,18,18,3,5,110000000.0
Dólares,C#,Extranjera,Remoto,14,14,3,4,44000.0
Dólares,Kotlin,Extranjera,Remoto,15,15,4,5,19600.0
Pesos,Python,Colombiana con mercado nacional,Híbrido,1,1,2,4,44000000.0
Dólares,Typescript,Extranjera,Remoto,4,4,3,1,24000.0
Dólares,SQL,Extranjera,Remoto,15,15,3,4,75000.0
Dólares,Typescript,Extranjera,Remoto,10,10,4,4,66000.0
Pesos,Python,Extranjera,Remoto,10,10,3,5,341276000.0
Pesos,Java,Colombiana con mercado nacional,Remoto,23,23,3,5,240000000.0
Dólares,Typescript,Extranjera,Remoto,12,12,3,5,78000.0
Pesos,Javascript,Colombiana con mercado nacional,Híbrido,8,8,1,5,13000000.0
Pesos,C#,Colombiana con mercado extranjero,Híbrido,17,17,3,5,25000000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,11,11,2,4,232000000.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,3,3,3,4,66000000.0
Pesos,Go,Extranjera,Híbrido,6,6,1,4,160000000.0
Pesos,Python,Extranjera,Remoto,4,4,4,4,130000000.0
Dólares,Python,Colombiana con mercado extranjero,Remoto,5,5,3,4,60000.0
Pesos,Java,Extranjera,Remoto,6,6,3,4,16000000.0
Pesos,Javascript,Extranjera,Remoto,5,5,3,4,12500000.0
Pesos,Go,Colombiana con mercado extranjero,Híbrido,5,5,4,4,270000000.0
Pesos,Typescript,Extranjera,Remoto,5,5,4,4,132000000.0
Pesos,Java,Soy independiente (Freelance),Híbrido,13,13,3,5,72000000.0
Pesos,C#,Extranjera,Híbrido,8,8,2,5,120000000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,8,8,0,4,258000000.0
Pesos,C#,Colombiana con mercado extranjero,Remoto,5,5,4,1,240000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,6,6,3,5,223266000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,9,9,3,4,168000000.0
Pesos,Javascript,Extranjera,Remoto,7,7,4,5,200000000.0
Pesos,Kotlin,Extranjera,Remoto,8,8,3,4,274000000.0
Pesos,C#,Colombiana con mercado nacional,Remoto,5,5,4,4,77000000.0
Pesos,Go,Extranjera,Remoto,14,14,2,4,144000000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,10,10,2,4,87000000.0
Dólares,SQL,Colombiana con mercado extranjero,Remoto,10,10,3,4,50800.0
Pesos,Python,Colombiana con mercado nacional,Remoto,5,5,2,1,118000000.0
Dólares,Scala,Extranjera,Remoto,5,5,4,5,76200.0
Dólares,Python,Soy independiente (Freelance),Remoto,10,10,1,1,140000.0
Pesos,SQL,Colombiana con mercado nacional,Híbrido,3,3,2,1,28800000.0
Pesos,Java,Extranjera,Remoto,9,9,2,4,226800000.0
Dólares,Typescript,Extranjera,Remoto,4,4,4,4,36000.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,4,4,3,4,74400000.0
Pesos,Java,Extranjera,Remoto,4,4,4,4,176000000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,15,15,4,1,21000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Híbrido,6,6,4,4,225000000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,8,8,4,4,123600000.0
Dólares,Python,Extranjera,Híbrido,6,6,3,4,60000.0
Pesos,C#,Extranjera,Remoto,13,13,3,4,0.0
Pesos,Python,Colombiana con mercado extranjero,Híbrido,6,6,4,4,192000000.0
Dólares,Python,Extranjera,Remoto,6,6,3,4,44500.0
Pesos,Java,Colombiana con mercado nacional,Remoto,4,4,3,4,66000000.0
Pesos,Typescript,Extranjera,Remoto,10,10,4,4,336000000.0
Pesos,Python,Colombiana con mercado nacional,Remoto,4,4,3,5,120000000.0
Pesos,Java,Extranjera,Remoto,8,8,1,4,58000000.0
Dólares,Python,Extranjera,Remoto,6,6,4,4,42000.0
Dólares,Javascript,Extranjera,Remoto,16,16,4,4,145000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,2,2,4,5,115500000.0
Pesos,C,Extranjera,Remoto,7,7,4,4,262800000.0
Dólares,C#,Extranjera,Remoto,5,5,4,4,47000.0
Pesos,Go,Extranjera,Híbrido,5,5,1,4,130000000.0
Dólares,Ruby,Extranjera,Remoto,10,10,3,4,70000.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,16,16,1,4,130000000.0
Dólares,Ruby,Extranjera,Remoto,1,1,4,4,12000.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,4,4,1,1,55200000.0
Dólares,Typescript,Extranjera,Remoto,4,4,3,1,18000.0
Pesos,Javascript,Extranjera,Remoto,7,7,4,1,126000000.0
Pesos,PHP,Extranjera,Remoto,30,30,3,5,120000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,3,3,3,4,78000000.0
Pesos,C#,Extranjera,Remoto,15,15,3,5,230000000.0
Pesos,Go,Colombiana con mercado extranjero,Remoto,3,3,2,4,44000000.0
Pesos,Java,Colombiana con mercado extranjero,Híbrido,4,4,3,4,123000000.0
Pesos,Python,Colombiana con mercado extranjero,Híbrido,4,4,3,5,118000000.0
Pesos,C#,Colombiana con mercado extranjero,Remoto,10,10,3,4,11000000.0
Pesos,SQL,Colombiana con mercado extranjero,Remoto,3,3,3,4,58800000.0
Dólares,Typescript,Extranjera,Remoto,3,3,0,4,31200.0
Dólares,Python,Extranjera,Remoto,4,4,3,4,60000.0
Pesos,F#,Extranjera,Híbrido,10,10,3,4,156598380.0
Dólares,Typescript,Extranjera,Remoto,8,8,2,1,39600.0
Dólares,Javascript,Extranjera,Remoto,3,3,3,4,12000.0
Pesos,Java,Colombiana con mercado extranjero,Híbrido,6,6,3,5,260000000.0
Pesos,Python,Colombiana con mercado nacional,Presencial,4,4,2,4,58000000.0
Dólares,Python,Extranjera,Remoto,4,4,4,5,42000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,4,4,4,4,65000000.0
Pesos,C#,Colombiana con mercado nacional,Presencial,5,5,2,4,33600000.0
Pesos,Python,Extranjera,Híbrido,3,3,4,5,38000000.0
Pesos,PHP,Colombiana con mercado nacional,Híbrido,2,2,4,4,54600000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,4,4,3,5,65000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,9,9,3,4,72800000.0
Pesos,Javascript,Extranjera,Remoto,5,5,3,1,124000000.0
Dólares,Python,Extranjera,Remoto,8,8,4,4,120000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,9,9,3,4,191200000.0
Pesos,Kotlin,Colombiana con mercado extranjero,Remoto,11,11,4,1,240000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,14,14,3,4,132000000.0
Pesos,Javascript,Extranjera,Remoto,4,4,3,4,112000000.0
Pesos,Java,Extranjera,Remoto,3,3,1,4,180000000.0
Pesos,Swift/Objective C,Colombiana con mercado nacional,Remoto,12,12,0,4,108000000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,4,4,3,5,195000000.0
Pesos,C#,Extranjera,Remoto,12,12,2,4,130000000.0
Pesos,PHP,Colombiana con mercado extranjero,Remoto,12,12,3,4,128000000.0
Pesos,Javascript,Extranjera,Remoto,14,14,4,4,306000000.0
Pesos,Python,Colombiana con mercado nacional,Remoto,7,7,2,4,112000000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,6,6,3,1,126000000.0
Pesos,Otro lenguaje de programación,Colombiana con mercado extranjero,Remoto,5,5,1,4,88400000.0
Pesos,Python,Extranjera,Remoto,5,5,4,4,216000000.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,3,3,0,1,70000000.0
Pesos,Typescript,Extranjera,Remoto,6,6,3,4,137000000.0
Pesos,Javascript,Extranjera,Remoto,4,4,3,1,81280836.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,5,5,3,4,202800000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,2,2,1,4,54000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,1,1,3,4,54000000.0
Pesos,Javascript,Colombiana con mercado nacional,Presencial,3,3,2,1,48000000.0
Pesos,C++,Extranjera,Híbrido,5,5,3,4,168670000.0
Dólares,Typescript,Extranjera,Remoto,15,15,4,5,96000.0
Pesos,Typescript,Colombiana con mercado nacional,Híbrido,2,2,3,4,54000000.0
Pesos,C#,Extranjera,Remoto,3,3,4,4,60000000.0
Pesos,Javascript,Colombiana con mercado nacional,Híbrido,4,4,1,5,110000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,1,1,0,4,35000000.0
Pesos,Kotlin,Extranjera,Remoto,9,9,3,4,202150000.0
Dólares,Swift/Objective C,Extranjera,Remoto,12,12,4,5,130000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,3,3,0,5,36000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,13,13,0,4,156000000.0
Pesos,Kotlin,Extranjera,Híbrido,10,10,4,4,35000000.0
Pesos,Kotlin,Colombiana con mercado nacional,Remoto,10,10,1,1,11000000.0
Pesos,Kotlin,Colombiana con mercado extranjero,Remoto,15,15,4,4,260000000.0
Pesos,Kotlin,Extranjera,Remoto,10,10,3,4,266000000.0
Dólares,Python,Extranjera,Remoto,7,7,2,1,140000.0
Dólares,Javascript,Extranjera,Remoto,3,3,3,4,24000.0
Dólares,Elixir,Extranjera,Remoto,11,11,4,4,180630.0
Dólares,Javascript,Extranjera,Remoto,4,4,4,1,10000.0
Pesos,Kotlin,Extranjera,Remoto,10,10,1,4,224800000.0
Pesos,Javascript,Extranjera,Remoto,10,10,3,4,94000000.0
Pesos,Kotlin,Colombiana con mercado nacional,Remoto,10,10,2,5,16000000.0
Pesos,Kotlin,Extranjera,Híbrido,10,10,3,4,228000000.0
Pesos,Kotlin,Colombiana con mercado extranjero,Remoto,8,8,1,4,102000000.0
Pesos,Javascript,Colombiana con mercado nacional,Remoto,1,1,2,4,30000000.0
Pesos,Python,Colombiana con mercado extranjero,Remoto,4,4,2,4,18000000.0
Pesos,Kotlin,Colombiana con mercado extranjero,Remoto,10,10,0,5,250000000.0
Pesos,C#,Colombiana con mercado nacional,Remoto,4,4,0,1,48000000.0
Dólares,Typescript,Extranjera,Remoto,11,11,2,1,60000.0
Dólares,Python,Extranjera,Remoto,4,4,4,5,60000.0
Pesos,Python,Colombiana con mercado nacional,Híbrido,4,4,2,5,50400000.0
Pesos,Python,Extranjera,Híbrido,2,2,3,4,94500000.0
Pesos,Java,Extranjera,Remoto,4,4,3,4,75000000.0
Dólares,Kotlin,Extranjera,Remoto,15,15,4,4,100000.0
Dólares,Javascript,Soy independiente (Freelance),Remoto,13,13,4,4,160000.0
Pesos,Kotlin,Colombiana con mercado extranjero,Remoto,6,6,3,4,123600000.0
Pesos,Typescript,Extranjera,Remoto,11,11,3,4,163800000.0
Pesos,Python,Colombiana con mercado nacional,Remoto,3,3,0,4,71900000.0
Pesos,Go,Colombiana con mercado extranjero,Híbrido,9,9,2,4,0.0
Dólares,Javascript,Colombiana con mercado extranjero,Remoto,4,4,2,5,36000.0
Pesos,Typescript,Extranjera,Remoto,14,14,4,4,625000000.0
Pesos,Python,Extranjera,Remoto,4,4,4,4,222060000.0
Pesos,Python,Colombiana con mercado nacional,Remoto,4,4,2,5,90000000.0
Pesos,Typescript,Colombiana con mercado nacional,Remoto,3,3,4,4,150000000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,5,5,2,4,90000000.0
Pesos,Javascript,Colombiana con mercado nacional,Presencial,3,3,2,5,32400000.0
Dólares,Otro lenguaje de programación,Extranjera,Remoto,7,7,4,4,84000.0
Pesos,Javascript,Extranjera,Remoto,6,6,3,1,192000000.0
Dólares,Javascript,Extranjera,Remoto,7,7,4,5,100000.0
Pesos,Javascript,Colombiana con mercado extranjero,Presencial,8,8,1,4,95000000.0
Pesos,Go,Colombiana con mercado extranjero,Híbrido,7,7,3,5,400000000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,6,6,2,4,204000000.0
Pesos,Java,Colombiana con mercado extranjero,Remoto,6,6,3,5,155000000.0
Pesos,Javascript,Extranjera,Remoto,5,5,4,4,87600000.0
Pesos,Typescript,Colombiana con mercado nacional,Remoto,4,4,3,4,52800000.0
Dólares,C#,Extranjera,Remoto,13,13,4,1,95000.0
Dólares,Java,Extranjera,Remoto,8,8,4,4,65000.0
Pesos,Python,Extranjera,Remoto,2,2,3,5,66000000.0
Pesos,Java,Colombiana con mercado nacional,Remoto,10,10,2,4,83000000.0
Pesos,Java,Colombiana con mercado nacional,Remoto,1,1,4,4,26000000.0
Pesos,Python,Extranjera,Híbrido,1,1,1,4,36000000.0
Pesos,Java,Colombiana con mercado nacional,Híbrido,6,6,2,4,120000000.0
Pesos,Java,Colombiana con mercado nacional,Híbrido,5,5,3,4,171000000.0
Pesos,Javascript,Colombiana con mercado extranjero,Remoto,7,7,4,4,158748000.0
Pesos,Javascript,Colombiana con mercado nacional,Híbrido,10,10,3,4,36000000.0
Pesos,Java,Extranjera,Remoto,5,5,4,5,222144000.0
Pesos,Typescript,Colombiana con mercado extranjero,Remoto,5,5,3,4,154700000.0
Pesos,Otro lenguaje de programación,Extranjera,Híbrido,5,5,2,4,20000000.0
Pesos,Otro lenguaje de programación,Colombiana con mercado extranjero,Remoto,12,12,4,4,180000000.0
